type	time
11,bnb_normal	21072.99



#	Waypoints	Mode	ThreadCount	Execution Time	BestTourWeight	Best Tour
0	11	bnb_normal	1	5984	162	[0,10,9,6,7,3,5,4,2,8,1]
1	11	bnb_normal	1	6000	162	[0,10,9,6,7,3,5,4,2,8,1]
2	11	bnb_normal	1	6056	162	[0,10,9,6,7,3,5,4,2,8,1]
3	11	bnb_normal	1	5993	162	[0,10,9,6,7,3,5,4,2,8,1]
4	11	bnb_normal	1	5998	162	[0,10,9,6,7,3,5,4,2,8,1]
5	11	bnb_normal	1	14672	158	[0,9,1,3,8,7,2,4,10,5,6]
6	11	bnb_normal	1	14561	158	[0,9,1,3,8,7,2,4,10,5,6]
7	11	bnb_normal	1	14524	158	[0,9,1,3,8,7,2,4,10,5,6]
8	11	bnb_normal	1	14725	158	[0,9,1,3,8,7,2,4,10,5,6]
9	11	bnb_normal	1	14775	158	[0,9,1,3,8,7,2,4,10,5,6]
10	11	bnb_normal	1	4282	151	[0,10,2,3,1,9,7,6,8,5,4]
11	11	bnb_normal	1	4227	151	[0,10,2,3,1,9,7,6,8,5,4]
12	11	bnb_normal	1	4221	151	[0,10,2,3,1,9,7,6,8,5,4]
13	11	bnb_normal	1	4300	151	[0,10,2,3,1,9,7,6,8,5,4]
14	11	bnb_normal	1	4306	151	[0,10,2,3,1,9,7,6,8,5,4]
15	11	bnb_normal	1	35622	222	[0,2,9,5,10,3,1,4,7,8,6]
16	11	bnb_normal	1	87161	222	[0,2,9,5,10,3,1,4,7,8,6]
17	11	bnb_normal	1	34654	222	[0,2,9,5,10,3,1,4,7,8,6]
18	11	bnb_normal	1	34534	222	[0,2,9,5,10,3,1,4,7,8,6]
19	11	bnb_normal	1	37262	222	[0,2,9,5,10,3,1,4,7,8,6]
20	11	bnb_normal	1	6846	164	[0,9,6,8,7,10,2,1,4,3,5]
21	11	bnb_normal	1	6771	164	[0,9,6,8,7,10,2,1,4,3,5]
22	11	bnb_normal	1	6742	164	[0,9,6,8,7,10,2,1,4,3,5]
23	11	bnb_normal	1	6684	164	[0,9,6,8,7,10,2,1,4,3,5]
24	11	bnb_normal	1	6669	164	[0,9,6,8,7,10,2,1,4,3,5]
25	11	bnb_normal	1	46772	248	[0,9,1,7,6,8,4,5,10,3,2]
26	11	bnb_normal	1	76211	248	[0,9,1,7,6,8,4,5,10,3,2]
27	11	bnb_normal	1	47800	248	[0,9,1,7,6,8,4,5,10,3,2]
28	11	bnb_normal	1	48005	248	[0,9,1,7,6,8,4,5,10,3,2]
29	11	bnb_normal	1	100078	248	[0,9,1,7,6,8,4,5,10,3,2]
30	11	bnb_normal	1	53119	227	[0,3,10,1,5,9,2,6,7,8,4]
31	11	bnb_normal	1	28913	227	[0,3,10,1,5,9,2,6,7,8,4]
32	11	bnb_normal	1	28925	227	[0,3,10,1,5,9,2,6,7,8,4]
33	11	bnb_normal	1	28919	227	[0,3,10,1,5,9,2,6,7,8,4]
34	11	bnb_normal	1	28922	227	[0,3,10,1,5,9,2,6,7,8,4]
35	11	bnb_normal	1	4807	136	[0,4,7,3,1,6,2,10,8,9,5]
36	11	bnb_normal	1	4775	136	[0,4,7,3,1,6,2,10,8,9,5]
37	11	bnb_normal	1	4885	136	[0,4,7,3,1,6,2,10,8,9,5]
38	11	bnb_normal	1	4870	136	[0,4,7,3,1,6,2,10,8,9,5]
39	11	bnb_normal	1	4866	136	[0,4,7,3,1,6,2,10,8,9,5]
40	11	bnb_normal	1	49558	227	[0,8,7,9,1,5,6,4,10,3,2]
41	11	bnb_normal	1	49639	227	[0,8,7,9,1,5,6,4,10,3,2]
42	11	bnb_normal	1	49668	227	[0,8,7,9,1,5,6,4,10,3,2]
43	11	bnb_normal	1	49359	227	[0,8,7,9,1,5,6,4,10,3,2]
44	11	bnb_normal	1	49536	227	[0,8,7,9,1,5,6,4,10,3,2]
45	11	bnb_normal	1	13768	192	[0,1,6,8,5,4,3,10,9,7,2]
46	11	bnb_normal	1	13718	192	[0,1,6,8,5,4,3,10,9,7,2]
47	11	bnb_normal	1	13848	192	[0,1,6,8,5,4,3,10,9,7,2]
48	11	bnb_normal	1	13955	192	[0,1,6,8,5,4,3,10,9,7,2]
49	11	bnb_normal	1	13839	192	[0,1,6,8,5,4,3,10,9,7,2]
50	11	bnb_normal	1	12969	218	[0,6,2,1,8,7,9,10,5,3,4]
51	11	bnb_normal	1	13110	218	[0,6,2,1,8,7,9,10,5,3,4]
52	11	bnb_normal	1	18663	218	[0,6,2,1,8,7,9,10,5,3,4]
53	11	bnb_normal	1	13035	218	[0,6,2,1,8,7,9,10,5,3,4]
54	11	bnb_normal	1	13006	218	[0,6,2,1,8,7,9,10,5,3,4]
55	11	bnb_normal	1	7741	173	[0,5,9,6,7,4,2,8,10,3,1]
56	11	bnb_normal	1	7760	173	[0,5,9,6,7,4,2,8,10,3,1]
57	11	bnb_normal	1	7817	173	[0,5,9,6,7,4,2,8,10,3,1]
58	11	bnb_normal	1	7790	173	[0,5,9,6,7,4,2,8,10,3,1]
59	11	bnb_normal	1	7828	173	[0,5,9,6,7,4,2,8,10,3,1]
60	11	bnb_normal	1	21903	206	[0,2,7,9,6,5,10,1,4,3,8]
61	11	bnb_normal	1	22018	206	[0,2,7,9,6,5,10,1,4,3,8]
62	11	bnb_normal	1	21860	206	[0,2,7,9,6,5,10,1,4,3,8]
63	11	bnb_normal	1	22114	206	[0,2,7,9,6,5,10,1,4,3,8]
64	11	bnb_normal	1	21969	206	[0,2,7,9,6,5,10,1,4,3,8]
